Entity,GSI1PK,GSI1SK,Note
Repos,REPO#<OwnerName>#<RepoName>,REPO#<OwnerName>#<RepoName>,
PullRequest,REPO#<OwnerName>#<RepoName>,PR#<ZeroPaddedPullRequestNumber>,
